Ensembl Gene ID	Associated Gene Name
ENSG00000007174	DNAH9
ENSG00000007216	SLC13A2
ENSG00000007255	TRAPPC6A
ENSG00000007264	MATK
ENSG00000007314	SCN4A
ENSG00000007341	ST7L
ENSG00000007350	TKTL1
ENSG00000007372	PAX6
ENSG00000007384	RHBDF1
ENSG00000007402	CACNA2D2
ENSG00000007516	BAIAP3
ENSG00000007866	TEAD3
ENSG00000007952	NOX1
ENSG00000007968	E2F2
ENSG00000008056	SYN1
ENSG00000008118	CAMK1G
ENSG00000008196	TFAP2B
ENSG00000008197	TFAP2D
ENSG00000008256	CYTH3
ENSG00000008277	ADAM22
ENSG00000008282	SYPL1
ENSG00000008283	CYB561
ENSG00000008294	SPAG9
ENSG00000008300	CELSR3
ENSG00000008405	CRY1
ENSG00000008441	NFIX
ENSG00000008513	ST3GAL1
ENSG00000008516	MMP25
ENSG00000008735	MAPK8IP2
ENSG00000008869	HEATR5B
ENSG00000009694	TENM1
ENSG00000009709	PAX7
ENSG00000009724	MASP2
ENSG00000009780	FAM76A
ENSG00000009950	MLXIPL
ENSG00000010017	RANBP9
ENSG00000010030	ETV7
ENSG00000010256	UQCRC1
ENSG00000010270	STARD3NL
ENSG00000010278	CD9
ENSG00000010282	HHATL
ENSG00000010310	GIPR
ENSG00000010319	SEMA3G
ENSG00000010327	STAB1
ENSG00000010379	SLC6A13
ENSG00000010438	PRSS3
ENSG00000010671	BTK
ENSG00000010803	SCMH1
ENSG00000010810	FYN
ENSG00000010818	HIVEP2
ENSG00000011009	LYPLA2
ENSG00000011028	MRC2
ENSG00000011052	NME1-NME2
ENSG00000011105	TSPAN9
ENSG00000011132	APBA3
ENSG00000011198	ABHD5
ENSG00000011258	MBTD1
ENSG00000011304	PTBP1
ENSG00000011332	DPF1
ENSG00000011405	PIK3C2A
ENSG00000011454	RABGAP1
ENSG00000011478	QPCTL
ENSG00000011566	MAP4K3
ENSG00000011677	GABRA3
ENSG00000012171	SEMA3B
ENSG00000012211	PRICKLE3
ENSG00000012223	LTF
ENSG00000012660	ELOVL5
ENSG00000012779	ALOX5
ENSG00000012822	CALCOCO1
ENSG00000012983	MAP4K5
ENSG00000013016	EHD3
ENSG00000013293	SLC7A14
ENSG00000013306	SLC25A39
ENSG00000013392	RWDD2A
ENSG00000013441	CLK1
ENSG00000013523	ANGEL1
ENSG00000013563	DNASE1L1
ENSG00000014216	CAPN1
ENSG00000014257	ACPP
ENSG00000014914	MTMR11
ENSG00000015133	CCDC88C
ENSG00000015285	WAS
ENSG00000015413	DPEP1
ENSG00000015520	NPC1L1
ENSG00000015532	XYLT2
ENSG00000015592	STMN4
ENSG00000016082	ISL1
ENSG00000016864	GLT8D1
ENSG00000017260	ATP2C1
ENSG00000017483	SLC38A5
ENSG00000018189	RUFY3
ENSG00000018236	CNTN1
ENSG00000018280	SLC11A1
ENSG00000018408	WWTR1
ENSG00000018625	ATP1A2
ENSG00000018869	ZNF582
ENSG00000019102	VSIG2
ENSG00000019186	CYP24A1
ENSG00000019549	SNAI2
ENSG00000019991	HGF
ENSG00000020181	ADGRA2
ENSG00000020577	SAMD4A
ENSG00000020633	RUNX3
ENSG00000021355	SERPINB1
ENSG00000021645	NRXN3
ENSG00000021762	OSBPL5
ENSG00000021852	C8B
ENSG00000022267	FHL1
ENSG00000022355	GABRA1
ENSG00000022556	NLRP2
ENSG00000023171	GRAMD1B
ENSG00000023191	RNH1
ENSG00000023330	ALAS1
ENSG00000023445	BIRC3
ENSG00000023892	DEF6
ENSG00000024048	UBR2
ENSG00000024422	EHD2
ENSG00000024526	DEPDC1
ENSG00000024862	CCDC28A
ENSG00000025039	RRAGD
ENSG00000025156	HSF2
ENSG00000025293	PHF20
ENSG00000025423	HSD17B6
ENSG00000025434	NR1H3
ENSG00000025772	TOMM34
ENSG00000025800	KPNA6
ENSG00000026025	VIM
ENSG00000026559	KCNG1
ENSG00000026652	AGPAT4
ENSG00000027075	PRKCH
ENSG00000027644	INSRR
ENSG00000028116	VRK2
ENSG00000028277	POU2F2
ENSG00000028310	BRD9
ENSG00000028528	SNX1
ENSG00000029153	ARNTL2
ENSG00000029534	ANK1
ENSG00000029725	RABEP1
ENSG00000029993	HMGB3
ENSG00000030304	MUSK
ENSG00000030419	IKZF2
ENSG00000031003	FAM13B
ENSG00000031081	ARHGAP31
ENSG00000031823	RANBP3
ENSG00000032219	ARID4A
ENSG00000032444	PNPLA6
ENSG00000033100	CHPF2
ENSG00000033122	LRRC7
ENSG00000033327	GAB2
ENSG00000033627	ATP6V0A1
ENSG00000033800	PIAS1
ENSG00000033867	SLC4A7
ENSG00000034053	APBA2
ENSG00000034152	MAP2K3
ENSG00000034677	RNF19A
ENSG00000034971	MYOC
ENSG00000035499	DEPDC1B
ENSG00000035664	DAPK2
ENSG00000035687	ADSS
ENSG00000035862	TIMP2
ENSG00000036448	MYOM2
ENSG00000036565	SLC18A1
ENSG00000036672	USP2
ENSG00000036828	CASR
ENSG00000037280	FLT4
ENSG00000037965	HOXC8
ENSG00000038210	PI4K2B
ENSG00000038295	TLL1
ENSG00000038382	TRIO
ENSG00000039068	CDH1
ENSG00000039139	DNAH5
ENSG00000039319	ZFYVE16
ENSG00000039523	FAM65A
ENSG00000039537	C6
ENSG00000039560	RAI14
ENSG00000039987	BEST2
ENSG00000040199	PHLPP2
ENSG00000040341	STAU2
ENSG00000040731	CDH10
ENSG00000040933	INPP4A
ENSG00000041353	RAB27B
ENSG00000041982	TNC
ENSG00000042062	FAM65C
ENSG00000042493	CAPG
ENSG00000042980	ADAM28
ENSG00000043093	DCUN1D1
ENSG00000043143	JADE2
ENSG00000043355	ZIC2
ENSG00000043462	LCP2
ENSG00000043591	ADRB1
ENSG00000044115	CTNNA1
ENSG00000044446	PHKA2
ENSG00000044524	EPHA3
ENSG00000046604	DSG2
ENSG00000046653	GPM6B
ENSG00000046889	PREX2
ENSG00000047230	CTPS2
ENSG00000047365	ARAP2
ENSG00000047457	CP
ENSG00000047617	ANO2
ENSG00000047644	WWC3
ENSG00000047648	ARHGAP6
ENSG00000048028	USP28
ENSG00000048052	HDAC9
ENSG00000048392	RRM2B
ENSG00000048540	LMO3
ENSG00000048545	GUCA1A
ENSG00000048740	CELF2
ENSG00000048828	FAM120A
ENSG00000048991	R3HDM1
ENSG00000049192	ADAMTS6
ENSG00000049245	VAMP3
ENSG00000049246	PER3
ENSG00000049323	LTBP1
ENSG00000049449	RCN1
ENSG00000049618	ARID1B
ENSG00000049759	NEDD4L
ENSG00000049860	HEXB
ENSG00000050327	ARHGEF5
ENSG00000050344	NFE2L3
ENSG00000050438	SLC4A8
ENSG00000050555	LAMC3
ENSG00000050730	TNIP3
ENSG00000050748	MAPK9
ENSG00000050767	COL23A1
ENSG00000050820	BCAR1
ENSG00000051108	HERPUD1
ENSG00000051128	HOMER3
ENSG00000051382	PIK3CB
ENSG00000052126	PLEKHA5
ENSG00000052344	PRSS8
ENSG00000052723	SIKE1
ENSG00000052850	ALX4
ENSG00000053108	FSTL4
ENSG00000053254	FOXN3
ENSG00000053524	MCF2L2
ENSG00000053747	LAMA3
ENSG00000054116	TRAPPC3
ENSG00000054219	LY75
ENSG00000054267	ARID4B
ENSG00000054277	OPN3
ENSG00000054356	PTPRN
ENSG00000054392	HHAT
ENSG00000054523	KIF1B
ENSG00000054598	FOXC1
ENSG00000054611	TBC1D22A
ENSG00000054654	SYNE2
ENSG00000054690	PLEKHH1
ENSG00000054793	ATP9A
ENSG00000054803	CBLN4
ENSG00000054938	CHRDL2
ENSG00000055118	KCNH2
ENSG00000055147	FAM114A2
ENSG00000055163	CYFIP2
ENSG00000055208	TAB2
ENSG00000055483	USP36
ENSG00000055732	MCOLN3
ENSG00000055813	CCDC85A
ENSG00000055917	PUM2
ENSG00000055955	ITIH4
ENSG00000055957	ITIH1
ENSG00000056097	ZFR
ENSG00000056277	ZNF280C
ENSG00000056291	NPFFR2
ENSG00000056487	PHF21B
ENSG00000056558	TRAF1
ENSG00000056586	RC3H2
ENSG00000056998	GYG2
ENSG00000057019	DCBLD2
ENSG00000057149	SERPINB3
ENSG00000057294	PKP2
ENSG00000057593	F7
ENSG00000057608	GDI2
ENSG00000057704	TMCC3
ENSG00000057935	MTA3
ENSG00000058056	USP13
ENSG00000058063	ATP11B
ENSG00000058091	CDK14
ENSG00000058262	SEC61A1
ENSG00000058272	PPP1R12A
ENSG00000058335	RASGRF1
ENSG00000058404	CAMK2B
ENSG00000058453	CROCC
ENSG00000058668	ATP2B4
ENSG00000058799	YIPF1
ENSG00000058866	DGKG
ENSG00000059377	TBXAS1
ENSG00000059378	PARP12
ENSG00000059728	MXD1
ENSG00000059758	CDK17
ENSG00000059915	PSD
ENSG00000060138	YBX3
ENSG00000060303	RPS17P5
ENSG00000060491	OGFR
ENSG00000060558	GNA15
ENSG00000060566	CREB3L3
ENSG00000060656	PTPRU
ENSG00000060709	RIMBP2
ENSG00000060982	BCAT1
ENSG00000061273	HDAC7
ENSG00000061337	LZTS1
ENSG00000061492	WNT8A
ENSG00000061676	NCKAP1
ENSG00000061938	TNK2
ENSG00000062038	CDH3
ENSG00000062096	ARSF
ENSG00000062194	GPBP1
ENSG00000062282	DGAT2
ENSG00000062370	ZNF112
ENSG00000062524	LTK
ENSG00000062598	ELMO2
ENSG00000063015	SEZ6
ENSG00000063176	SPHK2
ENSG00000063180	CA11
ENSG00000063515	GSC2
ENSG00000063601	MTMR1
ENSG00000063660	GPC1
ENSG00000064012	CASP8
ENSG00000064195	DLX3
ENSG00000064205	WISP2
ENSG00000064225	ST3GAL6
ENSG00000064270	ATP2C2
ENSG00000064309	CDON
ENSG00000064393	HIPK2
ENSG00000064490	RFXANK
ENSG00000064545	TMEM161A
ENSG00000064547	LPAR2
ENSG00000064651	SLC12A2
ENSG00000064652	SNX24
ENSG00000064655	EYA2
ENSG00000064666	CNN2
ENSG00000064687	ABCA7
ENSG00000064726	BTBD1
ENSG00000064763	FAR2
ENSG00000064835	POU1F1
ENSG00000064961	HMG20B
ENSG00000064989	CALCRL
ENSG00000064999	ANKS1A
ENSG00000065029	ZNF76
ENSG00000065054	SLC9A3R2
ENSG00000065060	UHRF1BP1
ENSG00000065135	GNAI3
ENSG00000065150	IPO5
ENSG00000065243	PKN2
ENSG00000065308	TRAM2
ENSG00000065320	NTN1
ENSG00000065325	GLP2R
ENSG00000065357	DGKA
ENSG00000065361	ERBB3
ENSG00000065413	ANKRD44
ENSG00000065491	TBC1D22B
ENSG00000065609	SNAP91
ENSG00000065613	SLK
ENSG00000065665	SEC61A2
ENSG00000065675	PRKCQ
ENSG00000065717	TLE2
ENSG00000065802	ASB1
ENSG00000065809	FAM107B
ENSG00000065833	ME1
ENSG00000065882	TBC1D1
ENSG00000065883	CDK13
ENSG00000065911	MTHFD2
ENSG00000065923	SLC9A7
ENSG00000065970	FOXJ2
ENSG00000065978	YBX1
ENSG00000065989	PDE4A
ENSG00000066027	PPP2R5A
ENSG00000066032	CTNNA2
ENSG00000066044	ELAVL1
ENSG00000066056	TIE1
ENSG00000066084	DIP2B
ENSG00000066117	SMARCD1
ENSG00000066135	KDM4A
ENSG00000066230	SLC9A3
ENSG00000066248	NGEF
ENSG00000066322	ELOVL1
ENSG00000066336	SPI1
ENSG00000066382	MPPED2
ENSG00000066405	CLDN18
ENSG00000066468	FGFR2
ENSG00000066629	EML1
ENSG00000066697	MSANTD3
ENSG00000066739	ATG2B
ENSG00000066777	ARFGEF1
ENSG00000066855	MTFR1
ENSG00000066923	STAG3
ENSG00000066933	MYO9A
ENSG00000067057	PFKP
ENSG00000067082	KLF6
ENSG00000067113	PLPP1
ENSG00000067141	NEO1
ENSG00000067167	TRAM1
ENSG00000067177	PHKA1
ENSG00000067191	CACNB1
ENSG00000067208	EVI5
ENSG00000067606	PRKCZ
ENSG00000067715	SYT1
ENSG00000067798	NAV3
ENSG00000067840	PDZD4
ENSG00000067842	ATP2B3
ENSG00000067900	ROCK1
ENSG00000067992	PDK3
ENSG00000068001	HYAL2
ENSG00000068024	HDAC4
ENSG00000068028	RASSF1
ENSG00000068078	FGFR3
ENSG00000068305	MEF2A
ENSG00000068323	TFE3
ENSG00000068366	ACSL4
ENSG00000068615	REEP1
ENSG00000068650	ATP11A
ENSG00000068697	LAPTM4A
ENSG00000068724	TTC7A
ENSG00000068745	IP6K2
ENSG00000068781	STON1-GTF2A1L
ENSG00000068796	KIF2A
ENSG00000068831	RASGRP2
ENSG00000068971	PPP2R5B
ENSG00000068976	PYGM
ENSG00000069011	PITX1
ENSG00000069018	TRPC7
ENSG00000069020	MAST4
ENSG00000069188	SDK2
ENSG00000069206	ADAM7
ENSG00000069399	BCL3
ENSG00000069424	KCNAB2
ENSG00000069431	ABCC9
ENSG00000069667	RORA
ENSG00000069764	PLA2G10
ENSG00000069812	HES2
ENSG00000069849	ATP1B3
ENSG00000069869	NEDD4
ENSG00000069956	MAPK6
ENSG00000069974	RAB27A
ENSG00000070018	LRP6
ENSG00000070081	NUCB2
ENSG00000070159	PTPN3
ENSG00000070182	SPTB
ENSG00000070193	FGF10
ENSG00000070214	SLC44A1
ENSG00000070371	CLTCL1
ENSG00000070388	FGF22
ENSG00000070404	FSTL3
ENSG00000070501	POLB
ENSG00000070540	WIPI1
ENSG00000070614	NDST1
ENSG00000070718	AP3M2
ENSG00000070729	CNGB1
ENSG00000070756	PABPC1
ENSG00000070759	TESK2
ENSG00000070778	PTPN21
ENSG00000070808	CAMK2A
ENSG00000070882	OSBPL3
ENSG00000070886	EPHA8
ENSG00000070961	ATP2B1
ENSG00000070985	TRPM5
ENSG00000071051	NCK2
ENSG00000071054	MAP4K4
ENSG00000071073	MGAT4A
ENSG00000071205	ARHGAP10
ENSG00000071242	RPS6KA2
ENSG00000071246	VASH1
ENSG00000071282	LMCD1
ENSG00000071537	SEL1L
ENSG00000071564	TCF3
ENSG00000071575	TRIB2
ENSG00000071655	MBD3
ENSG00000071889	FAM3A
ENSG00000071909	MYO3B
ENSG00000071967	CYBRD1
ENSG00000071991	CDH19
ENSG00000072041	SLC6A15
ENSG00000072042	RDH11
ENSG00000072062	PRKACA
ENSG00000072071	ADGRL1
ENSG00000072110	ACTN1
ENSG00000072133	RPS6KA6
ENSG00000072182	ASIC4
ENSG00000072201	LNX1
ENSG00000072210	ALDH3A2
ENSG00000072274	TFRC
ENSG00000072310	SREBF1
ENSG00000072315	TRPC5
ENSG00000072364	AFF4
ENSG00000072401	UBE2D1
ENSG00000072501	SMC1A
ENSG00000072518	MARK2
ENSG00000072682	P4HA2
ENSG00000072736	NFATC3
ENSG00000072786	STK10
ENSG00000072803	FBXW11
ENSG00000072818	ACAP1
ENSG00000072832	CRMP1
ENSG00000072849	DERL2
ENSG00000072858	SIDT1
ENSG00000072864	NDE1
ENSG00000072954	TMEM38A
ENSG00000072958	AP1M1
ENSG00000073008	PVR
ENSG00000073060	SCARB1
ENSG00000073067	CYP2W1
ENSG00000073146	MOV10L1
ENSG00000073282	TP63
ENSG00000073350	LLGL2
ENSG00000073417	PDE8A
ENSG00000073464	CLCN4
ENSG00000073614	KDM5A
ENSG00000073670	ADAM11
ENSG00000073711	PPP2R3A
ENSG00000073712	FERMT2
ENSG00000073734	ABCB11
ENSG00000073737	DHRS9
ENSG00000073756	PTGS2
ENSG00000073792	IGF2BP2
ENSG00000073803	MAP3K13
ENSG00000073849	ST6GAL1
ENSG00000073861	TBX21
ENSG00000073910	FRY
ENSG00000073921	PICALM
ENSG00000074047	GLI2
ENSG00000074054	CLASP1
ENSG00000074181	NOTCH3
ENSG00000074211	PPP2R2C
ENSG00000074219	TEAD2
ENSG00000074370	ATP2A3
ENSG00000074410	CA12
ENSG00000074590	NUAK1
ENSG00000074603	DPP8
ENSG00000074657	ZNF532
ENSG00000074695	LMAN1
ENSG00000074771	NOX3
ENSG00000074800	ENO1
ENSG00000074803	SLC12A1
ENSG00000074964	ARHGEF10L
ENSG00000074966	TXK
ENSG00000075035	WSCD2
ENSG00000075043	KCNQ2
ENSG00000075073	TACR2
ENSG00000075142	SRI
ENSG00000075151	EIF4G3
ENSG00000075213	SEMA3A
ENSG00000075223	SEMA3C
ENSG00000075275	CELSR1
ENSG00000075290	WNT8B
ENSG00000075303	SLC25A40
ENSG00000075340	ADD2
ENSG00000075388	FGF4
ENSG00000075391	RASAL2
ENSG00000075413	MARK3
ENSG00000075420	FNDC3B
ENSG00000075426	FOSL2
ENSG00000075429	CACNG5
ENSG00000075461	CACNG4
ENSG00000075539	FRYL
ENSG00000075618	FSCN1
ENSG00000075624	ACTB
ENSG00000075651	PLD1
ENSG00000075702	WDR62
ENSG00000075711	DLG1
ENSG00000075790	BCAP29
ENSG00000075826	SEC31B
ENSG00000075884	ARHGAP15
ENSG00000075886	TUBA3D
ENSG00000075891	PAX2
ENSG00000075975	MKRN2
ENSG00000076053	RBM7
ENSG00000076067	RBMS2
ENSG00000076344	RGS11
ENSG00000076351	SLC46A1
ENSG00000076356	PLXNA2
ENSG00000076513	ANKRD13A
ENSG00000076554	TPD52
ENSG00000076555	ACACB
ENSG00000076685	NT5C2
ENSG00000076706	MCAM
ENSG00000076716	GPC4
ENSG00000076770	MBNL3
ENSG00000076826	CAMSAP3
ENSG00000076928	ARHGEF1
ENSG00000076944	STXBP2
ENSG00000077009	NMRK2
ENSG00000077044	DGKD
ENSG00000077063	CTTNBP2
ENSG00000077080	ACTL6B
ENSG00000077092	RARB
ENSG00000077150	NFKB2
ENSG00000077157	PPP1R12B
ENSG00000077254	USP33
ENSG00000077264	PAK3
ENSG00000077274	CAPN6
ENSG00000077279	DCX
ENSG00000077312	SNRPA
ENSG00000077380	DYNC1I2
ENSG00000077454	LRCH4
ENSG00000077458	FAM76B
ENSG00000077522	ACTN2
ENSG00000077585	GPR137B
ENSG00000077616	NAALAD2
ENSG00000077684	JADE1
ENSG00000077721	UBE2A
ENSG00000077782	FGFR1
ENSG00000077935	SMC1B
ENSG00000077942	FBLN1
ENSG00000077943	ITGA8
ENSG00000078043	PIAS2
ENSG00000078053	AMPH
ENSG00000078061	ARAF
ENSG00000078098	FAP
ENSG00000078114	NEBL
ENSG00000078246	TULP3
ENSG00000078269	SYNJ2
ENSG00000078295	ADCY2
ENSG00000078304	PPP2R5C
ENSG00000078319	PMS2P1
ENSG00000078328	RBFOX1
ENSG00000078369	GNB1
ENSG00000078399	HOXA9
ENSG00000078549	ADCYAP1R1
ENSG00000078579	FGF20
ENSG00000078596	ITM2A
ENSG00000078668	VDAC3
ENSG00000078687	TNRC6C
ENSG00000078699	CBFA2T2
ENSG00000078725	BRINP1
ENSG00000078747	ITCH
ENSG00000078795	PKD2L2
ENSG00000078814	MYH7B
ENSG00000078900	TP73
ENSG00000078967	UBE2D4
ENSG00000079102	RUNX1T1
ENSG00000079150	FKBP7
ENSG00000079156	OSBPL6
ENSG00000079215	SLC1A3
ENSG00000079277	MKNK1
ENSG00000079308	TNS1
ENSG00000079332	SAR1A
ENSG00000079335	CDC14A
ENSG00000079337	RAPGEF3
ENSG00000079387	SENP1
ENSG00000079393	DUSP13
ENSG00000079462	PAFAH1B3
ENSG00000079482	OPHN1
ENSG00000079691	LRRC16A
ENSG00000079739	PGM1
ENSG00000079805	DNM2
ENSG00000079819	EPB41L2
ENSG00000079841	RIMS1
ENSG00000079950	STX7
ENSG00000079974	RABL2B
ENSG00000080007	DDX43
ENSG00000080031	PTPRH
ENSG00000080200	CRYBG3
ENSG00000080224	EPHA6
ENSG00000080293	SCTR
ENSG00000080298	RFX3
ENSG00000080493	SLC4A4
ENSG00000080503	SMARCA2
ENSG00000080546	SESN1
ENSG00000080561	MID2
ENSG00000080618	CPB2
ENSG00000080644	CHRNA3
ENSG00000080709	KCNN2
ENSG00000080815	PSEN1
ENSG00000080824	HSP90AA1
ENSG00000080839	RBL1
ENSG00000080845	DLGAP4
ENSG00000081019	RSBN1
ENSG00000081026	MAGI3
ENSG00000081059	TCF7
ENSG00000081138	CDH7
ENSG00000081181	ARG2
ENSG00000081189	MEF2C
ENSG00000081248	CACNA1S
ENSG00000081277	PKP1
ENSG00000081320	STK17B
ENSG00000081377	CDC14B
ENSG00000081479	LRP2
ENSG00000081665	ZNF506
ENSG00000081800	SLC13A1
ENSG00000081803	CADPS2
ENSG00000081818	PCDHB4
ENSG00000081842	PCDHA6
ENSG00000081853	PCDHGA2
ENSG00000081913	PHLPP1
ENSG00000081923	ATP8B1
ENSG00000081985	IL12RB2
ENSG00000082014	SMARCD3
ENSG00000082126	MPP4
ENSG00000082146	STRADB
ENSG00000082153	BZW1
ENSG00000082175	PGR
ENSG00000082212	ME2
ENSG00000082258	CCNT2
ENSG00000082293	COL19A1
ENSG00000082397	EPB41L3
ENSG00000082458	DLG3
ENSG00000082482	KCNK2
ENSG00000082512	TRAF5
ENSG00000082556	OPRK1
ENSG00000082641	NFE2L1
ENSG00000082684	SEMA5B
ENSG00000082701	GSK3B
ENSG00000082781	ITGB5
ENSG00000082805	ERC1
ENSG00000082996	RNF13
ENSG00000083067	TRPM3
ENSG00000083097	DOPEY1
ENSG00000083223	ZCCHC6
ENSG00000083290	ULK2
ENSG00000083307	GRHL2
ENSG00000083312	TNPO1
ENSG00000083444	PLOD1
ENSG00000083457	ITGAE
ENSG00000083642	PDS5B
ENSG00000083720	OXCT1
ENSG00000083817	ZNF416
ENSG00000083857	FAT1
ENSG00000084070	SMAP2
ENSG00000084112	SSH1
ENSG00000084234	APLP2
ENSG00000084444	FAM234B
ENSG00000084453	SLCO1A2
ENSG00000084628	NKAIN1
ENSG00000084652	TXLNA
ENSG00000084676	NCOA1
ENSG00000084710	EFR3B
ENSG00000084731	KIF3C
ENSG00000084764	MAPRE3
ENSG00000085117	CD82
ENSG00000085276	MECOM
ENSG00000085365	SCAMP1
ENSG00000085449	WDFY1
ENSG00000085491	SLC25A24
ENSG00000085563	ABCB1
ENSG00000085662	AKR1B1
ENSG00000085719	CPNE3
ENSG00000085788	DDHD2
ENSG00000085831	TTC39A
ENSG00000085832	EPS15
ENSG00000085871	MGST2
ENSG00000085978	ATG16L1
ENSG00000086015	MAST2
ENSG00000086061	DNAJA1
ENSG00000086062	B4GALT1
ENSG00000086159	AQP6
ENSG00000086300	SNX10
ENSG00000086544	ITPKC
ENSG00000086570	FAT2
ENSG00000086619	ERO1B
ENSG00000086666	ZFAND6
ENSG00000086696	HSD17B2
ENSG00000086712	TXLNG
ENSG00000086717	PPEF1
ENSG00000086967	MYBPC2
ENSG00000086991	NOX4
ENSG00000087053	MTMR2
ENSG00000087077	TRIP6
ENSG00000087085	ACHE
ENSG00000087086	FTL
ENSG00000087116	ADAMTS2
ENSG00000087128	TMPRSS11E
ENSG00000087245	MMP2
ENSG00000087253	LPCAT2
ENSG00000087274	ADD1
ENSG00000087303	NID2
ENSG00000087460	GNAS
ENSG00000087495	PHACTR3
ENSG00000087510	TFAP2C
ENSG00000087586	AURKA
ENSG00000087589	CASS4
ENSG00000087903	RFX2
ENSG00000087995	METTL2A
ENSG00000088002	SULT2B1
ENSG00000088179	PTPN4
ENSG00000088247	KHSRP
ENSG00000088256	GNA11
ENSG00000088280	ASAP3
ENSG00000088305	DNMT3B
ENSG00000088320	REM1
ENSG00000088340	FER1L4
ENSG00000088387	DOCK9
ENSG00000088538	DOCK3
ENSG00000088756	ARHGAP28
ENSG00000088808	PPP1R13B
ENSG00000088812	ATRN
ENSG00000088826	SMOX
ENSG00000088832	FKBP1A
ENSG00000088833	NSFL1C
ENSG00000088876	ZNF343
ENSG00000088881	EBF4
ENSG00000088882	CPXM1
ENSG00000088899	RP5-1187M17.10
ENSG00000088986	DYNLL1
ENSG00000089006	SNX5
ENSG00000089057	SLC23A2
ENSG00000089094	KDM2B
ENSG00000089116	LHX5
ENSG00000089123	TASP1
ENSG00000089169	RPH3A
ENSG00000089225	TBX5
ENSG00000089250	NOS1
ENSG00000089351	GRAMD1A
ENSG00000089472	HEPH
ENSG00000089558	KCNH4
ENSG00000089597	GANAB
ENSG00000089639	GMIP
ENSG00000089693	MLF2
ENSG00000089723	OTUB2
ENSG00000089818	NECAP1
ENSG00000089820	ARHGAP4
ENSG00000089876	DHX32
ENSG00000089902	RCOR1
ENSG00000089916	GPATCH2L
ENSG00000090006	LTBP4
ENSG00000090020	SLC9A1
ENSG00000090060	PAPOLA
ENSG00000090097	PCBP4
ENSG00000090238	YPEL3
ENSG00000090372	STRN4
ENSG00000090376	IRAK3
ENSG00000090382	LYZ
ENSG00000090402	SI
ENSG00000090530	P3H2
ENSG00000090565	RAB11FIP3
ENSG00000090612	ZNF268
ENSG00000090621	PABPC4
ENSG00000090661	CERS4
ENSG00000090674	MCOLN1
ENSG00000090776	EFNB1
ENSG00000090905	TNRC6A
ENSG00000090924	PLEKHG2
ENSG00000090975	PITPNM2
ENSG00000091009	RBM27
ENSG00000091010	POU4F3
ENSG00000091039	OSBPL8
ENSG00000091073	DTX2
ENSG00000091128	LAMB4
ENSG00000091129	NRCAM
ENSG00000091136	LAMB1
ENSG00000091137	SLC26A4
ENSG00000091138	SLC26A3
ENSG00000091262	ABCC6
ENSG00000091409	ITGA6
ENSG00000091428	RAPGEF4
ENSG00000091436	AC013461.1
ENSG00000091513	TF
ENSG00000091622	PITPNM3
ENSG00000091656	ZFHX4
ENSG00000091664	SLC17A6
ENSG00000091704	CPA1
ENSG00000091831	ESR1
ENSG00000091844	RGS17
