,ALDH3A1,AQP1,ATP6V0E1,BCAM,CCL19,CCL26,CCT7,CDC42EP4,CHGB,CYBA,EEF1A2,EZR,FXYD5,GSTO1,HSP90AB1,HSPA5,HSPH1,LAMC2,MT2A,NDUFA4,NSDHL,OAF,PFDN2,PLA2G4A,PPDPF,PSMB3,PYGL,ROMO1,RPL13,RPL35,RPL36AL,SERPINE1,SF3B5,SMS,SPINK6,SQLE,SSR3,TCEAL4,TMED10,TNFRSF12A,class
GSM1607779,0.001107199,0.010884463,-0.049656863,-0.004868447,0.0131316,-0.079160026,-0.003889368,0.021069961,-0.003023391,-0.002762819,-0.040729989,-0.016752315,-0.00290191,0.015413573,0.00303661,0.000192158,-0.008084709,0.000128348,-0.002975304,-0.048039743,-0.057907864,-0.02891076,0.010414875,0.023727203,-0.00543659,-0.017935269,-0.005440683,0.046698136,-0.000981884,0.000440546,-0.02068592,0.00089873,0.014583862,-0.012067129,0.03482051,-0.00015655,-0.01167181,-0.041039787,0.006841197,-0.018753461,0
GSM1607792,0.001358863,0.010618738,-0.051453949,-0.005020523,0.01158966,-0.077569606,-0.003748587,0.020174228,-0.003081026,-0.002435842,-0.049811466,-0.016191428,-0.002793933,0.017093148,0.003015896,0.000189638,-0.008097156,0.000117805,-0.003518351,-0.047605923,-0.059877052,-0.029539613,0.010513712,0.026726619,-0.005644061,-0.018763943,-0.006018025,0.048356499,-0.000963523,0.000448031,-0.020401738,0.000807961,0.01422552,-0.012163223,0.043616956,-0.000151725,-0.011054132,-0.04054124,0.006948666,-0.017384337,0
GSM1607795,0.001169673,0.010643711,-0.047485001,-0.005198232,0.012639895,-0.080706187,-0.003333626,0.023859772,-0.003106287,-0.002843209,-0.040557247,-0.016510606,-0.003019723,0.015623446,0.002960681,0.000201582,-0.007011466,0.000132826,-0.003821815,-0.045249793,-0.05707213,-0.032783704,0.010530117,0.02183365,-0.004832305,-0.019213025,-0.005641272,0.049043,-0.000997463,0.000457762,-0.019355351,0.001069362,0.014280016,-0.011685128,0.041356355,-0.000140917,-0.011625198,-0.039253341,0.005908235,-0.019404808,0
GSM1607799,0.001303415,0.010911113,-0.051366807,-0.005035855,0.01179602,-0.079430711,-0.00369562,0.021121183,-0.003042074,-0.002666591,-0.05422362,-0.016153761,-0.002850786,0.015880739,0.002944642,0.000182147,-0.007702879,0.000130766,-0.003035031,-0.045493855,-0.060586027,-0.02984669,0.010192699,0.022124451,-0.00584534,-0.018097345,-0.005889128,0.048210174,-0.000959793,0.0004507,-0.020409077,0.000892044,0.013641287,-0.011825538,0.048107363,-0.000160606,-0.011180868,-0.039959758,0.006991038,-0.018912179,0
GSM1607801,0.001143021,0.010760501,-0.051135121,-0.005007787,0.011876414,-0.080104954,-0.003908414,0.021860889,-0.003154967,-0.002878476,-0.043312029,-0.016561835,-0.002944428,0.017079359,0.003139246,0.000216935,-0.008037701,0.000153316,-0.003640962,-0.048082631,-0.056888503,-0.033338414,0.010522616,0.023728281,-0.005487965,-0.018973692,-0.005799843,0.048435563,-0.000997127,0.000452407,-0.020843517,0.000850556,0.014066417,-0.012198866,0.037450935,-0.00015865,-0.011742013,-0.042137838,0.00668774,-0.020702157,0
GSM1607803,0.001458998,0.01076563,-0.049997239,-0.005270789,0.012129892,-0.087855909,-0.003842659,0.022716423,-0.003034268,-0.002671852,-0.050777856,-0.016019873,-0.002424358,0.017234476,0.003125081,0.000179234,-0.008015939,0.000140342,-0.003055559,-0.045988381,-0.059826838,-0.029241817,0.009998049,0.0263562,-0.005406302,-0.019230972,-0.005497095,0.047830168,-0.000968393,0.000450224,-0.020240572,0.000960854,0.013938964,-0.012162953,0.035922912,-0.000165549,-0.011197739,-0.042429401,0.006726251,-0.01841454,0
GSM1607806,0.000901022,0.011264493,-0.047307169,-0.005051609,0.012106462,-0.080156552,-0.003654491,0.023099783,-0.003069472,-0.002654963,-0.038403883,-0.01533243,-0.002924634,0.015193065,0.003175291,0.000203451,-0.008055781,0.000115351,-0.003282036,-0.047854137,-0.05509058,-0.030324521,0.010409552,0.021289503,-0.005198118,-0.019023758,-0.004641634,0.047017776,-0.000972527,0.000451051,-0.019360216,0.000709802,0.014203873,-0.011979465,0.034659343,-0.000137489,-0.011667193,-0.042967543,0.006848912,-0.015941013,0
GSM1607817,0.001152284,0.010662088,-0.052487513,-0.005041824,0.019602512,-0.079421114,-0.003803934,0.022845228,-0.003122017,-0.003139362,-0.038697462,-0.016118269,-0.002891849,0.015706833,0.003029652,0.000187775,-0.007634359,0.000104951,-0.00272621,-0.047497587,-0.056867486,-0.027534791,0.010304619,0.021789837,-0.005843141,-0.01873556,-0.004682615,0.047838192,-0.000950725,0.000450946,-0.02168712,0.000730155,0.014114521,-0.011556175,0.034869567,-0.00013994,-0.011006733,-0.040136241,0.006999133,-0.015299326,0
GSM1607824,0.001117755,0.010748432,-0.047545203,-0.005131745,0.01439396,-0.078402124,-0.003758627,0.022770731,-0.002954793,-0.002874619,-0.038160609,-0.015696966,-0.002805454,0.015399262,0.003148868,0.000188556,-0.007609056,0.00012533,-0.00341996,-0.046372363,-0.059793455,-0.031186237,0.01042677,0.020883624,-0.005631943,-0.018730959,-0.005290712,0.04787165,-0.000953986,0.00044001,-0.019944632,0.0008394,0.014208023,-0.011974594,0.033932996,-0.00015784,-0.011506581,-0.040008032,0.006666887,-0.017482743,0
GSM1607825,0.001252541,0.010448054,-0.048321861,-0.004984556,0.011861114,-0.07989228,-0.003655243,0.022276795,-0.002983357,-0.002839085,-0.037558225,-0.015699445,-0.003012088,0.015458656,0.003313386,0.000195067,-0.007729295,0.000165852,-0.003302851,-0.048668119,-0.060670658,-0.032279321,0.010480068,0.0243072,-0.005647398,-0.01898083,-0.005191539,0.049992996,-0.000981859,0.000447205,-0.020429098,0.000908183,0.014620054,-0.011791924,0.04025649,-0.000159356,-0.011328441,-0.041658933,0.006184191,-0.019448497,0
GSM1607829,0.000847947,0.01073884,-0.04937518,-0.004933975,0.011691107,-0.08003686,-0.003668682,0.023137948,-0.003321293,-0.002930256,-0.041619496,-0.015926571,-0.003274552,0.016221518,0.003133924,0.000207219,-0.008254531,0.000157414,-0.003674675,-0.04822013,-0.054394216,-0.031233578,0.01068072,0.023187027,-0.006116554,-0.01909402,-0.005533418,0.049236117,-0.000993793,0.00045334,-0.020681648,0.001019796,0.014335311,-0.012629176,0.037578544,-0.000155848,-0.011867905,-0.039312217,0.006817273,-0.021937946,0
GSM1607832,0.001042609,0.011102734,-0.047285616,-0.005022407,0.013158703,-0.084393509,-0.003672657,0.023164923,-0.002981065,-0.002964942,-0.037895685,-0.015761208,-0.00273606,0.015727513,0.003117745,0.000195674,-0.00843536,0.000120773,-0.003017963,-0.046733988,-0.052704005,-0.030727093,0.01037555,0.022536474,-0.005632733,-0.018650431,-0.00534962,0.050464425,-0.000962518,0.000455046,-0.01939171,0.000843109,0.014450403,-0.011511019,0.034539253,-0.000154774,-0.011215561,-0.039755652,0.006371305,-0.018529527,0
GSM1607841,0.000959246,0.010773737,-0.049170413,-0.005356382,0.013685428,-0.090656669,-0.003483138,0.023806018,-0.003849926,-0.002831816,-0.040103523,-0.016664323,-0.00316962,0.016814483,0.003171072,0.000206183,-0.008474183,0.000136081,-0.003763043,-0.046247861,-0.056709184,-0.032789228,0.010388001,0.02225015,-0.005050308,-0.019900157,-0.005722911,0.050439846,-0.00094761,0.000465481,-0.019792622,0.001008578,0.014143845,-0.011915746,0.03970522,-0.000148361,-0.011177049,-0.039981203,0.006123874,-0.020200643,0
GSM1607843,0.000953277,0.011762352,-0.050345773,-0.005159974,0.015636568,-0.079677538,-0.003770574,0.025155193,-0.003073145,-0.00293808,-0.053418566,-0.015741289,-0.002921893,0.01634793,0.003197121,0.000190276,-0.008265319,0.000124514,-0.003285826,-0.049022578,-0.053789474,-0.03233064,0.010318727,0.022950316,-0.005434546,-0.019456655,-0.004730004,0.04826091,-0.000950851,0.000452879,-0.019643584,0.000906377,0.013915777,-0.012526834,0.034622362,-0.000142542,-0.011169921,-0.041132293,0.006506191,-0.019472247,0
GSM1607849,0.000807652,0.011528374,-0.051371475,-0.005128462,0.013494516,-0.079336465,-0.003742461,0.019637674,-0.004297547,-0.002884502,-0.06167535,-0.014753761,-0.003081269,0.017149103,0.003086881,0.000197825,-0.007618567,0.00010613,-0.003976631,-0.047952381,-0.052594268,-0.035059987,0.010515633,0.021620768,-0.00540017,-0.01886096,-0.005501628,0.046522358,-0.000968878,0.00044737,-0.019831946,0.001097799,0.013757809,-0.01163941,0.034906046,-0.000139573,-0.011387981,-0.042182847,0.006685042,-0.019248185,0
GSM1607850,0.000869574,0.011442062,-0.050679146,-0.004971347,0.012293178,-0.079666703,-0.003694662,0.020197239,-0.003108178,-0.00258893,-0.037749963,-0.015701659,-0.002901564,0.016564792,0.00292993,0.00019781,-0.007410809,0.000153995,-0.003656972,-0.047038781,-0.056500079,-0.030321091,0.010372266,0.023732058,-0.004901496,-0.018842772,-0.005442397,0.04778441,-0.000975381,0.000442806,-0.020565589,0.001014697,0.013376098,-0.012000967,0.04266964,-0.000154868,-0.012025489,-0.04162961,0.007028575,-0.02005084,0
GSM1607851,0.001192081,0.010726553,-0.052663524,-0.005070517,0.012632983,-0.07955136,-0.003838922,0.022444151,-0.003198421,-0.002708672,-0.0420192,-0.015946289,-0.002766895,0.016126852,0.00291134,0.000203782,-0.008108921,0.000147675,-0.003556064,-0.048550731,-0.058861974,-0.031022268,0.010235869,0.021977757,-0.005416878,-0.019182,-0.006242431,0.049748593,-0.000976725,0.000457163,-0.021781672,0.000902098,0.013627113,-0.012567033,0.051590819,-0.000159571,-0.011644861,-0.044667733,0.007470061,-0.021249489,0
GSM1607855,0.001470062,0.011031706,-0.050116714,-0.005021906,0.013163725,-0.082317213,-0.003630243,0.022163313,-0.003476831,-0.002734828,-0.041475886,-0.016162294,-0.002576042,0.017123985,0.003038663,0.000186515,-0.007791042,0.00010356,-0.002869707,-0.047739785,-0.060595797,-0.029682558,0.010339222,0.023744838,-0.00543255,-0.019143057,-0.005580393,0.049150427,-0.000957023,0.000448366,-0.020577537,0.000738794,0.014187764,-0.011648367,0.035223474,-0.000151832,-0.011130315,-0.044005103,0.006794606,-0.016427931,0
GSM1607856,0.001077957,0.010708382,-0.05260087,-0.00496461,0.012467386,-0.081020631,-0.003836941,0.021446161,-0.003130707,-0.002856319,-0.045875838,-0.015880478,-0.002898294,0.016077794,0.003305572,0.000195291,-0.008098014,0.000115887,-0.003524894,-0.047827706,-0.055280323,-0.03246896,0.010519956,0.023317081,-0.005414878,-0.019747283,-0.005585364,0.047840719,-0.000967759,0.00043944,-0.020931911,0.000858486,0.013970471,-0.012444798,0.035670737,-0.000156828,-0.011664561,-0.04233367,0.007376247,-0.018748291,0
GSM1607861,0.001158621,0.010997592,-0.050503185,-0.004932089,0.013865774,-0.088257908,-0.003571058,0.022632088,-0.003137458,-0.002782582,-0.038912129,-0.015799457,-0.003174389,0.015711707,0.003094398,0.000201995,-0.00818477,0.000137808,-0.003666159,-0.047604163,-0.055306462,-0.031843932,0.010385961,0.021537688,-0.005527722,-0.018972427,-0.005560226,0.04830336,-0.000953108,0.000446661,-0.020548398,0.001117648,0.013552983,-0.011957159,0.03732453,-0.000148104,-0.01189512,-0.03925193,0.007271997,-0.020776979,0
GSM1607862,0.000828408,0.012124179,-0.049124454,-0.005036546,0.013407372,-0.077885915,-0.003652383,0.02210478,-0.003799708,-0.002986942,-0.05175129,-0.01637278,-0.003128499,0.016554371,0.003119203,0.000175035,-0.007207193,0.000141067,-0.00375674,-0.047608973,-0.06210953,-0.034021375,0.010753751,0.020694117,-0.00545831,-0.019728004,-0.005472923,0.052366311,-0.000982718,0.000449495,-0.018519299,0.000943344,0.014950082,-0.012082154,0.036084355,-0.000139431,-0.011062697,-0.040141878,0.006049679,-0.021351063,0
GSM1607865,0.000861036,0.010615683,-0.04732547,-0.005527732,0.01164432,-0.077782765,-0.00378165,0.022403171,-0.003007494,-0.002495771,-0.045023747,-0.016326099,-0.003227605,0.015873655,0.003158132,0.000192145,-0.008192282,0.000158641,-0.003597862,-0.047535536,-0.057132843,-0.03210643,0.01030462,0.021441844,-0.006163109,-0.018059645,-0.006427236,0.049538887,-0.000966607,0.000456918,-0.021375253,0.000985425,0.013933729,-0.013599116,0.036833517,-0.000173948,-0.01162221,-0.04460206,0.007672914,-0.020840594,0
GSM1607867,0.001330143,0.010651082,-0.04995664,-0.005025864,0.013496951,-0.082275476,-0.00377054,0.023155234,-0.003056085,-0.002795836,-0.047132718,-0.016312832,-0.002692326,0.015693668,0.003114943,0.000197191,-0.007434462,0.000110687,-0.003095361,-0.047382614,-0.060908067,-0.028635844,0.01022317,0.02289733,-0.005640927,-0.018795462,-0.005401797,0.048622691,-0.00097205,0.000450734,-0.019999472,0.000755284,0.014402818,-0.011580969,0.035430983,-0.000155805,-0.011003245,-0.042008676,0.006394931,-0.016820296,0
GSM1607871,0.001115301,0.011118072,-0.050529483,-0.005229479,0.018345908,-0.078728953,-0.003659154,0.022800671,-0.00305404,-0.003069294,-0.051317974,-0.01567437,-0.002724927,0.016045317,0.003047674,0.000199451,-0.007434274,0.000106945,-0.003019414,-0.0469787,-0.054734288,-0.029187459,0.010229713,0.022399556,-0.005372938,-0.019080409,-0.004445591,0.048610923,-0.000955571,0.00045053,-0.020698154,0.000740897,0.013650547,-0.011486889,0.035234794,-0.000140926,-0.011135357,-0.040653819,0.006634245,-0.016008535,0
GSM1607872,0.000979004,0.010702909,-0.049980495,-0.005109825,0.012170359,-0.080983018,-0.003797254,0.022226036,-0.003008725,-0.002846295,-0.046403405,-0.016800916,-0.002930769,0.016879611,0.003142871,0.000201486,-0.007752952,0.000141754,-0.003722481,-0.046114022,-0.058575659,-0.032089092,0.010452127,0.022443039,-0.005313465,-0.019752344,-0.005761537,0.050848231,-0.000989209,0.000462672,-0.019910383,0.00099365,0.014519135,-0.011923746,0.036533476,-0.000149953,-0.011712164,-0.040591607,0.006385144,-0.019567836,0
GSM1607877,0.001275242,0.010634452,-0.050978927,-0.005089092,0.016960321,-0.079434506,-0.003689397,0.021964097,-0.004099013,-0.0028938,-0.049970527,-0.016029315,-0.003049518,0.0158497,0.00299783,0.000190438,-0.007845311,0.000131123,-0.003141028,-0.047079035,-0.057735605,-0.028422061,0.010134535,0.021922062,-0.005596423,-0.018235459,-0.005449334,0.047638214,-0.000949307,0.000447072,-0.020565966,0.000851544,0.013908979,-0.011995741,0.035879114,-0.000158575,-0.011433032,-0.039800661,0.007088083,-0.01686374,0
GSM1607883,0.000790368,0.0111713,-0.05108258,-0.005042898,0.01108908,-0.081123345,-0.003637534,0.022168679,-0.00306461,-0.002900812,-0.038543426,-0.016737937,-0.003190969,0.017502059,0.003192334,0.000195935,-0.008152134,0.000169123,-0.003989817,-0.045710782,-0.063320414,-0.034270432,0.010392089,0.022085294,-0.005556722,-0.018655195,-0.006483379,0.054319217,-0.000972361,0.000447522,-0.021144858,0.001108507,0.013479592,-0.012301587,0.035503242,-0.000171254,-0.011781339,-0.043708562,0.006725092,-0.023355797,0
GSM1607885,0.001237562,0.010782803,-0.051716181,-0.005051447,0.012008389,-0.079802187,-0.00381265,0.020218683,-0.003119092,-0.002548648,-0.043223278,-0.015941565,-0.002621035,0.015594084,0.003171224,0.000205444,-0.00822907,0.000123168,-0.003393688,-0.047548459,-0.062677084,-0.032033704,0.010320548,0.022168567,-0.005520034,-0.019308521,-0.005958008,0.047791428,-0.000975063,0.000455216,-0.019812056,0.0009604,0.01435248,-0.012246775,0.037682595,-0.000166442,-0.011978118,-0.042255147,0.006501616,-0.019317423,0
GSM1607890,0.001143907,0.011027903,-0.052504822,-0.004948882,0.011954631,-0.080297179,-0.003761205,0.02375383,-0.003156955,-0.00257955,-0.04050581,-0.016241013,-0.002932423,0.015996727,0.003083693,0.000199943,-0.007639083,0.000128977,-0.003577137,-0.046631217,-0.059521134,-0.032924276,0.010552648,0.022027648,-0.005410335,-0.019268445,-0.005871846,0.04781636,-0.000945456,0.000455454,-0.020335383,0.000962726,0.013969441,-0.011392859,0.035165875,-0.000170302,-0.011867794,-0.040935367,0.006868808,-0.019523792,0
GSM1607891,0.001202301,0.011508483,-0.049940076,-0.004919562,0.015410819,-0.080312947,-0.003557422,0.020680487,-0.003145515,-0.003271786,-0.051143036,-0.015623618,-0.002861084,0.01583151,0.002904097,0.0002074,-0.007518456,0.000104889,-0.003102673,-0.047346757,-0.054402695,-0.031968732,0.010384582,0.02193436,-0.005309371,-0.018826348,-0.005043089,0.048438547,-0.000962984,0.000453059,-0.021046462,0.000732473,0.012957954,-0.011275705,0.035363831,-0.00014419,-0.011757217,-0.039549089,0.00672856,-0.016085635,0
GSM1607892,0.001292702,0.010807636,-0.051635198,-0.005164585,0.01476526,-0.079656514,-0.003842812,0.022120576,-0.004213736,-0.00277238,-0.049931368,-0.015822109,-0.003123435,0.016958105,0.003127098,0.000192195,-0.008234188,0.00014273,-0.003573087,-0.04855865,-0.05342526,-0.029955312,0.010007581,0.021682125,-0.005633209,-0.018979399,-0.006027318,0.04986092,-0.000952579,0.000455511,-0.02043585,0.000879758,0.013963552,-0.012323416,0.036274716,-0.000141992,-0.011565641,-0.041065116,0.006753826,-0.019624936,0
GSM1607897,0.001200308,0.010514689,-0.050221065,-0.004986219,0.014630537,-0.079523697,-0.003612576,0.022948696,-0.003164386,-0.0030246,-0.05604979,-0.016206051,-0.002977645,0.016630709,0.003141662,0.000209283,-0.007500701,0.000127738,-0.003787802,-0.04699934,-0.061742365,-0.030291941,0.009974941,0.021825169,-0.005570581,-0.019729822,-0.005837891,0.050756362,-0.000936109,0.000465898,-0.021056997,0.000851158,0.014808745,-0.011816589,0.035629728,-0.000149515,-0.010811675,-0.041894662,0.006378061,-0.019909157,0
GSM1607901,0.001335498,0.011900023,-0.050306841,-0.005044961,0.017035032,-0.081727375,-0.003622589,0.020278432,-0.003201079,-0.00293119,-0.056256589,-0.015168047,-0.002953741,0.016120847,0.003014056,0.000191235,-0.007641059,0.000122059,-0.003143467,-0.049075719,-0.054147562,-0.03395398,0.010355877,0.021863022,-0.005329313,-0.018448874,-0.005439819,0.047624778,-0.000950776,0.000461232,-0.020582048,0.000896549,0.013678144,-0.01154016,0.036536374,-0.000148876,-0.011278418,-0.043431168,0.006400531,-0.018892131,0
GSM1607902,0.000832488,0.010710577,-0.04972314,-0.005038369,0.014077241,-0.081253249,-0.003433991,0.023861083,-0.003044546,-0.002909565,-0.037645308,-0.016623844,-0.002925495,0.01562797,0.002993947,0.000181335,-0.007313291,0.000118236,-0.002869546,-0.046973466,-0.059645844,-0.029547958,0.0103244,0.021916901,-0.005629437,-0.018962018,-0.005120007,0.048081119,-0.000967312,0.000442162,-0.019398853,0.000734556,0.01348794,-0.012136971,0.03651439,-0.000165297,-0.011137324,-0.037362284,0.006524771,-0.016750385,0
GSM1607907,0.000815672,0.011370095,-0.049609042,-0.00500564,0.015738093,-0.082231502,-0.003665699,0.020966272,-0.004352634,-0.002840859,-0.055785917,-0.016095994,-0.003227973,0.017589276,0.00320047,0.00019471,-0.007519945,0.000130271,-0.003747022,-0.046856739,-0.05576577,-0.034007375,0.010046274,0.02152422,-0.005216664,-0.019538616,-0.005306635,0.050913932,-0.000983549,0.000459226,-0.020269136,0.001021456,0.014179753,-0.012473237,0.036501802,-0.000138785,-0.011462083,-0.041625066,0.006091563,-0.02068204,0
GSM1607908,0.001308805,0.010836495,-0.051437063,-0.005074184,0.012394023,-0.079134376,-0.003924989,0.02237164,-0.003086786,-0.002746575,-0.050725264,-0.016377628,-0.002532748,0.0158261,0.003197055,0.000205441,-0.008499408,0.000135405,-0.003039651,-0.049434781,-0.06008857,-0.030327031,0.010601412,0.023650851,-0.005207898,-0.01915904,-0.005553301,0.047366952,-0.000977185,0.000453875,-0.020254853,0.000881006,0.013809644,-0.012674135,0.0450235,-0.000162662,-0.011747088,-0.040356862,0.006461897,-0.018869797,0
GSM1607915,0.001016928,0.01072649,-0.052053243,-0.005139884,0.014204248,-0.07929794,-0.003794144,0.023145586,-0.003006338,-0.003019287,-0.038787725,-0.015486931,-0.002641497,0.015973581,0.003168195,0.000205231,-0.008148648,0.000117039,-0.00279704,-0.048628613,-0.056811327,-0.028453391,0.010354129,0.02427067,-0.005099375,-0.019012057,-0.004732926,0.048285635,-0.000966542,0.000455639,-0.020494995,0.000782017,0.013433049,-0.01128093,0.036034808,-0.000151944,-0.011868729,-0.039625604,0.006635632,-0.016841572,0
GSM1607916,0.001203779,0.010547952,-0.051813997,-0.004931614,0.012163749,-0.079866393,-0.003804188,0.020102782,-0.003029874,-0.00263852,-0.047831667,-0.015958224,-0.002850457,0.016977692,0.002869374,0.00018527,-0.007838289,0.000129396,-0.003329181,-0.048858683,-0.061293883,-0.027505275,0.010403709,0.024799027,-0.005795288,-0.019606902,-0.005941979,0.050422434,-0.000968558,0.000447481,-0.021326873,0.000865201,0.014727848,-0.011608221,0.043262763,-0.000162987,-0.011440723,-0.039376487,0.006393476,-0.018784777,0
GSM1607917,0.001463721,0.011223038,-0.048059598,-0.005006557,0.012045508,-0.09187463,-0.003603917,0.021027572,-0.003017515,-0.002593939,-0.042112349,-0.015845428,-0.002511775,0.015772734,0.003028978,0.000186423,-0.007898784,0.000106442,-0.002622351,-0.046317181,-0.057700773,-0.031583084,0.010235499,0.02352006,-0.005523332,-0.018834879,-0.005400262,0.047951325,-0.000958502,0.000458655,-0.02068047,0.000774626,0.014029057,-0.012126909,0.034470771,-0.000145827,-0.01124308,-0.04396829,0.006662864,-0.016463258,0
