,BCAM,BRMS1,BTG1,CAMK2N1,CDKN2A,COX8A,CTNNAL1,CXCL13,DAD1,EEF1A2,EMD,F3,FAU,GSTP1,HBEGF,HSP90AA1,HSP90AB1,IL1A,MRPL41,MT1X,NQO1,PDAP1,PPP1R14B,PSMB7,PSMC3,RPN2,RSL1D1,SBDS,SERPINE1,SMS,SPINK6,SURF4,TCEAL8,TNFRSF12A,TOMM7,TRIB3,ZMAT2,class
GSM1607779,-0.002226673,0.009402327,0.035761046,-0.049526671,0.043259195,-0.02208642,0.014267151,0.012055772,-0.043198022,-0.027256854,-0.002127005,-0.002026768,-0.003391275,0.001903286,-0.011067287,-8.58E-05,0.003103316,-0.016586585,0.021193705,-0.06792552,-0.004328839,-0.009061875,0.001491889,-0.029400744,-0.019186479,0.001708631,-0.000741856,-0.024202085,0.002635039,-0.005483871,0.026639497,0.00123142,-0.014631724,-0.029075014,-0.004624821,-0.010182785,-0.033563292,0
GSM1607792,-0.002296228,0.008703382,0.035382533,-0.052016753,0.048653547,-0.021738371,0.016527199,0.011738097,-0.044505785,-0.033334255,-0.002172595,-0.00229682,-0.003390617,0.001928902,-0.011064813,-8.56E-05,0.003082147,-0.017670141,0.019924389,-0.073977887,-0.004585036,-0.008773886,0.00150741,-0.032000354,-0.019321319,0.001736114,-0.000750232,-0.025961338,0.002368909,-0.00552754,0.033369234,0.001190163,-0.013424151,-0.026952349,-0.004572741,-0.008998669,-0.035126722,0
GSM1607795,-0.002377506,0.009607399,0.037165461,-0.047117894,0.050640149,-0.021271885,0.014549432,0.011982474,-0.042192645,-0.027141253,-0.002187876,-0.002321327,-0.003291015,0.001878385,-0.013370933,-8.58E-05,0.003025719,-0.020446512,0.020218613,-0.076512683,-0.004445363,-0.008542393,0.001558358,-0.031003365,-0.019971658,0.001867924,-0.000699998,-0.022204908,0.003135327,-0.005310272,0.031639757,0.001189429,-0.013156108,-0.030084849,-0.004559277,-0.008994105,-0.036679477,0
GSM1607799,-0.00230324,0.009165798,0.037882597,-0.049098841,0.044295791,-0.021496309,0.015400392,0.011475927,-0.043764336,-0.036286905,-0.00216041,-0.002341393,-0.003334027,0.001875567,-0.012605895,-8.55E-05,0.003009328,-0.018171614,0.019879638,-0.063642114,-0.004737672,-0.008544827,0.001503719,-0.031209245,-0.019094169,0.001700754,-0.000731168,-0.024901477,0.002615437,-0.005374081,0.036804628,0.001277853,-0.0143165,-0.029321087,-0.004386247,-0.009317083,-0.034718617,0
GSM1607801,-0.002290403,0.008982231,0.034546305,-0.043345499,0.04409671,-0.022453283,0.017978802,0.013785791,-0.043236608,-0.028984777,-0.002166189,-0.002554595,-0.003363009,0.001883203,-0.011990991,-8.63E-05,0.003208207,-0.018631221,0.021637606,-0.067289146,-0.004285135,-0.008952933,0.001599569,-0.033538174,-0.019117432,0.001762047,-0.000754781,-0.023451136,0.002493796,-0.005543738,0.028651908,0.00131273,-0.013498277,-0.032096235,-0.004541052,-0.008872737,-0.035120003,0
GSM1607803,-0.002410691,0.009254032,0.037798221,-0.039113353,0.044821469,-0.022525674,0.01740547,0.013178868,-0.044507419,-0.033980971,-0.00220477,-0.002119341,-0.003364584,0.00197134,-0.011324113,-8.32E-05,0.003193731,-0.015997231,0.021051622,-0.070485813,-0.00537615,-0.008909862,0.001574523,-0.031053363,-0.019194684,0.001751274,-0.000758468,-0.023769905,0.002817186,-0.005527418,0.027482891,0.001237095,-0.014543287,-0.028549557,-0.004378411,-0.009115767,-0.033244246,0
GSM1607806,-0.002310446,0.009182516,0.036322295,-0.046374611,0.044529033,-0.02149874,0.014275111,0.012484319,-0.042826213,-0.025700204,-0.002206861,-0.00190293,-0.003406847,0.001773957,-0.009431427,-8.51E-05,0.003245043,-0.013293888,0.02010838,-0.059798666,-0.003767813,-0.008773359,0.001443946,-0.029699187,-0.019910068,0.001895016,-0.000669586,-0.021903328,0.002081112,-0.005444032,0.026516195,0.001164307,-0.014159723,-0.024714646,-0.004508138,-0.009244469,-0.035245384,0
GSM1607817,-0.00230597,0.009400782,0.03843368,-0.045043359,0.047387676,-0.022768423,0.014856284,0.017241272,-0.045989327,-0.025896669,-0.002055247,-0.001907892,-0.003568126,0.001827128,-0.009969168,-8.42E-05,0.003096205,-0.015615448,0.020474519,-0.065978204,-0.003805128,-0.008730359,0.001462635,-0.030354716,-0.019125977,0.001752184,-0.000717421,-0.023755488,0.002140784,-0.005251669,0.026677028,0.001226843,-0.014091236,-0.023719787,-0.004601635,-0.008356744,-0.035464043,0
GSM1607824,-0.002347097,0.009195087,0.037019373,-0.042709816,0.042456964,-0.021942951,0.015370754,0.014851736,-0.04442226,-0.025537402,-0.002140147,-0.002114749,-0.003335111,0.001860273,-0.011787504,-8.15E-05,0.00321804,-0.016345217,0.019576534,-0.067303586,-0.004276058,-0.008730151,0.001500642,-0.029614001,-0.019203768,0.001771129,-0.000696042,-0.023893711,0.002461088,-0.005441819,0.025960502,0.00120997,-0.014096757,-0.027104915,-0.004511682,-0.009043045,-0.033714213,0
GSM1607825,-0.002279778,0.009818474,0.036248472,-0.049349614,0.0421101,-0.022534127,0.014677976,0.011549381,-0.043611231,-0.025134282,-0.00228279,-0.00212509,-0.00345204,0.001915382,-0.011673287,-8.68E-05,0.003386172,-0.019735664,0.02079609,-0.065415382,-0.004698257,-0.00904388,0.001620697,-0.031162181,-0.020197418,0.00185858,-0.000710478,-0.023692033,0.002662755,-0.005358805,0.030798303,0.001220826,-0.014108034,-0.030152584,-0.004607589,-0.009719154,-0.035122246,0
GSM1607829,-0.002256643,0.009734415,0.037030182,-0.055078919,0.04969635,-0.023229417,0.017721791,0.012789286,-0.045302375,-0.027852119,-0.002039298,-0.002549373,-0.003545755,0.001935133,-0.011986731,-8.64E-05,0.003202768,-0.019853009,0.020687936,-0.065079211,-0.004560847,-0.008776646,0.001718294,-0.033140504,-0.020051654,0.001751551,-0.000765362,-0.02430039,0.002990002,-0.005739292,0.028749536,0.001202686,-0.013420631,-0.034012178,-0.004662764,-0.009447808,-0.035178075,0
GSM1607832,-0.00229709,0.00951562,0.038100759,-0.04107948,0.042153287,-0.022442737,0.013598877,0.01236287,-0.044855709,-0.025360113,-0.002119163,-0.002079543,-0.003484535,0.001870621,-0.009673179,-8.32E-05,0.003186234,-0.015343172,0.019703331,-0.064475568,-0.004547768,-0.008949252,0.001608323,-0.029805222,-0.019539092,0.00174426,-0.000693051,-0.022803667,0.002471962,-0.005231148,0.02642432,0.001190676,-0.014060224,-0.02872783,-0.004540038,-0.008876716,-0.033477448,0
GSM1607841,-0.002449839,0.009516345,0.036075767,-0.055078932,0.042178856,-0.022014936,0.017078535,0.014861469,-0.043673301,-0.026837617,-0.002239531,-0.002746377,-0.003435055,0.001880448,-0.012382981,-8.25E-05,0.003240732,-0.017345665,0.021866885,-0.066020859,-0.003871043,-0.00885868,0.00157567,-0.032911544,-0.02003028,0.001787518,-0.000711766,-0.024002057,0.002957109,-0.005415075,0.030376552,0.001270015,-0.013067221,-0.031318697,-0.004483032,-0.00951313,-0.034871228,0
GSM1607843,-0.002360009,0.009356637,0.039721257,-0.043927329,0.044141965,-0.023370523,0.017042371,0.01589684,-0.043491104,-0.035748156,-0.002162294,-0.002002919,-0.003535479,0.001953109,-0.011075156,-8.39E-05,0.003267354,-0.016970347,0.020778605,-0.062221914,-0.003960856,-0.009012269,0.0015247,-0.030949459,-0.019886569,0.001808151,-0.000701953,-0.023373448,0.002657462,-0.005692782,0.026487903,0.001262776,-0.014071763,-0.030189405,-0.004508244,-0.008566199,-0.03484458,0
GSM1607849,-0.002345596,0.008825591,0.037673232,-0.044048179,0.044608882,-0.021672607,0.016075509,0.011706454,-0.044710652,-0.041273666,-0.002272989,-0.002336044,-0.003287941,0.001751293,-0.011903082,-8.40E-05,0.003154692,-0.017396335,0.020597236,-0.078369235,-0.004391546,-0.008634287,0.001540339,-0.03010523,-0.019284239,0.001728483,-0.00073133,-0.024789379,0.003218704,-0.005289495,0.026704936,0.001325228,-0.014626686,-0.029842024,-0.004518369,-0.008568017,-0.03465161,0
GSM1607850,-0.002273736,0.009021572,0.035741694,-0.052870816,0.049451445,-0.02139325,0.018215689,0.015226659,-0.045490264,-0.025262595,-0.002082339,-0.002317258,-0.003360477,0.001822036,-0.011249996,-8.68E-05,0.002994293,-0.015816607,0.019855029,-0.065762962,-0.004284146,-0.008606281,0.001492019,-0.031989982,-0.019336517,0.001740415,-0.00074086,-0.025380731,0.00297505,-0.005453804,0.032644488,0.001195187,-0.01378246,-0.031086446,-0.004519613,-0.009933991,-0.034308836,0
GSM1607851,-0.002319094,0.009538296,0.035590508,-0.050057762,0.044064121,-0.022346897,0.016433525,0.012432261,-0.046160415,-0.028119604,-0.002092219,-0.002320507,-0.003452951,0.001956779,-0.010960124,-8.95E-05,0.002975294,-0.018814405,0.021229103,-0.071596485,-0.005110626,-0.008993318,0.001654167,-0.031533311,-0.018999648,0.001700307,-0.00077154,-0.024937596,0.002644914,-0.005711051,0.039469652,0.001199816,-0.015074328,-0.032944807,-0.004513113,-0.009169584,-0.03658143,0
GSM1607855,-0.002296861,0.00900673,0.037320302,-0.045290235,0.044636206,-0.022428084,0.016721944,0.013144812,-0.043889001,-0.027756014,-0.002221871,-0.002183752,-0.003456395,0.001946234,-0.011286353,-8.31E-05,0.003105414,-0.015457418,0.020430469,-0.065545117,-0.00501582,-0.008731553,0.001487556,-0.031041606,-0.019171037,0.001748193,-0.000735092,-0.024374867,0.002166114,-0.005293566,0.026947785,0.001195841,-0.014619549,-0.025469555,-0.004565687,-0.008758815,-0.036509097,0
GSM1607856,-0.002270655,0.008897622,0.035138606,-0.046914902,0.042978781,-0.022012707,0.013969671,0.014330133,-0.046111151,-0.030700499,-0.002190801,-0.002043297,-0.003419833,0.00183531,-0.010898794,-8.46E-05,0.003378186,-0.01844757,0.020633299,-0.068373307,-0.004606759,-0.008926057,0.001512135,-0.031231685,-0.019245263,0.001762031,-0.000740044,-0.024682221,0.002517048,-0.005655501,0.027289964,0.001219196,-0.01504452,-0.029066998,-0.004623401,-0.010098006,-0.035349139,0
GSM1607861,-0.002255781,0.009568711,0.035483475,-0.051090269,0.04488669,-0.022219738,0.015658236,0.015182672,-0.043525934,-0.026040326,-0.002125694,-0.002049204,-0.003339164,0.001888514,-0.012015162,-8.63E-05,0.003162374,-0.014477615,0.021157718,-0.074231376,-0.004524877,-0.00880719,0.001578071,-0.030606613,-0.019305445,0.001759901,-0.000731491,-0.023779324,0.003276898,-0.005433895,0.028555202,0.001213118,-0.013496165,-0.032212238,-0.004614059,-0.008892594,-0.034887219,0
GSM1607862,-0.002303556,0.010349844,0.034164256,-0.047994499,0.043347254,-0.022749124,0.015491752,0.012224033,-0.042646346,-0.034632401,-0.002333718,-0.002186478,-0.003229347,0.001934263,-0.011348327,-8.60E-05,0.003187724,-0.015715979,0.023256194,-0.067857023,-0.004188685,-0.009266234,0.001671444,-0.032673811,-0.02094882,0.001870157,-0.000797039,-0.020976382,0.002765846,-0.005490699,0.027606403,0.001367037,-0.014095148,-0.033102286,-0.004329028,-0.00972396,-0.035629557,0
GSM1607865,-0.002528209,0.009700868,0.036519502,-0.051914445,0.049738066,-0.022108588,0.01833081,0.011148165,-0.043348783,-0.030130272,-0.002267188,-0.002533002,-0.003388837,0.001940801,-0.011381102,-8.99E-05,0.003227508,-0.018216407,0.01939511,-0.06403445,-0.003894521,-0.008948848,0.001630203,-0.031663356,-0.018707089,0.001691877,-0.000721055,-0.025129849,0.002889226,-0.006180078,0.028179551,0.001335003,-0.013616936,-0.032310865,-0.004613861,-0.009797488,-0.032239798,0
GSM1607867,-0.00229867,0.008982608,0.035253385,-0.045652774,0.045387125,-0.022010607,0.015569544,0.013176252,-0.044770635,-0.031541614,-0.002129921,-0.002114777,-0.003330049,0.001874348,-0.0115446,-8.37E-05,0.00318337,-0.016535386,0.020331852,-0.071435054,-0.00501522,-0.008701521,0.001506439,-0.029959052,-0.018614048,0.001773153,-0.000735805,-0.024131379,0.002214463,-0.005262937,0.02710654,0.001237166,-0.013863461,-0.026077871,-0.004551222,-0.009018289,-0.03491169,0
GSM1607871,-0.002391798,0.009100722,0.036613502,-0.040239592,0.043997954,-0.021798477,0.015487415,0.016996439,-0.044868051,-0.034342423,-0.002193981,-0.001898147,-0.003506996,0.001781158,-0.009148656,-8.35E-05,0.003114623,-0.012623026,0.020320885,-0.063965374,-0.004050204,-0.00881781,0.001446986,-0.030719951,-0.020083253,0.001852084,-0.00071884,-0.022217461,0.00217228,-0.005220183,0.026956445,0.001232858,-0.014466942,-0.024819331,-0.004525426,-0.008910888,-0.034849334,0
GSM1607872,-0.002337072,0.009842904,0.033981726,-0.048360543,0.044591578,-0.02241464,0.016844583,0.012461456,-0.043381602,-0.031053551,-0.002275686,-0.00225224,-0.003427759,0.001967305,-0.012416772,-8.30E-05,0.003211911,-0.018850626,0.021801478,-0.067875153,-0.005109557,-0.009254296,0.001613404,-0.032754211,-0.020226388,0.001793347,-0.000749438,-0.022398436,0.002913342,-0.005418711,0.027950004,0.001248295,-0.013574884,-0.030337604,-0.004505231,-0.010526503,-0.035537392,0
GSM1607877,-0.002327589,0.009044558,0.038022742,-0.045620424,0.052171161,-0.021773986,0.01550749,0.015837438,-0.043992001,-0.033440699,-0.002122921,-0.00216914,-0.003361162,0.001882857,-0.011077219,-8.41E-05,0.003063684,-0.015792085,0.020424351,-0.075158786,-0.00426823,-0.008885242,0.001468606,-0.029751588,-0.018880743,0.001728496,-0.000735453,-0.023828639,0.002496693,-0.005451429,0.027449383,0.001208298,-0.013822654,-0.026145225,-0.004460953,-0.009185365,-0.03439466,0
GSM1607883,-0.002306461,0.010301421,0.034916546,-0.056131171,0.041657622,-0.021959591,0.019210201,0.013583182,-0.045666409,-0.025793587,-0.002315802,-0.00265303,-0.003388665,0.001789896,-0.011034418,-9.03E-05,0.003262461,-0.018755401,0.020721336,-0.060271456,-0.004593843,-0.008809788,0.001697899,-0.034535496,-0.020536801,0.001848199,-0.000733167,-0.024031897,0.003250098,-0.005590419,0.027161822,0.001374772,-0.01433489,-0.036210388,-0.004457671,-0.009756048,-0.035689068,0
GSM1607885,-0.002310371,0.009449466,0.035022884,-0.0434986,0.05579275,-0.022221825,0.01522099,0.011782332,-0.044692432,-0.028925384,-0.002202407,-0.002104012,-0.003493297,0.001941125,-0.011852594,-8.43E-05,0.003240888,-0.018429309,0.02143729,-0.062423929,-0.005264791,-0.008685329,0.001590534,-0.031224194,-0.019312067,0.001759699,-0.000695901,-0.026103519,0.002815854,-0.005565511,0.02882914,0.001240626,-0.013113218,-0.029949369,-0.004576203,-0.009892932,-0.035577003,0
GSM1607890,-0.002263462,0.009423208,0.03539817,-0.044339927,0.055126191,-0.021842548,0.01621526,0.012151931,-0.045381469,-0.027106831,-0.002092909,-0.002304628,-0.003360402,0.001884828,-0.012926293,-8.12E-05,0.003151433,-0.017563583,0.02040824,-0.074097181,-0.004822833,-0.008735571,0.001486475,-0.032562345,-0.019615295,0.001739957,-0.00075478,-0.024540203,0.002822674,-0.005177451,0.026903718,0.001243893,-0.01409535,-0.030269319,-0.004465857,-0.009370639,-0.035921378,0
GSM1607891,-0.002250051,0.00933297,0.036911152,-0.045428349,0.043819669,-0.021402079,0.015756769,0.017684901,-0.044947663,-0.034225353,-0.002219094,-0.00213496,-0.003491001,0.001768216,-0.009454801,-8.45E-05,0.002967892,-0.013565306,0.020364237,-0.060503398,-0.003831588,-0.008721973,0.001427049,-0.03046776,-0.019362514,0.00189394,-0.00069328,-0.023188797,0.00214758,-0.00512421,0.027055165,0.001288361,-0.013336689,-0.024938866,-0.004529787,-0.008952359,-0.034051775,0
GSM1607892,-0.002362117,0.009566751,0.036498863,-0.051283306,0.047810461,-0.022115952,0.017608816,0.013775123,-0.0443799,-0.033414494,-0.002106609,-0.002361921,-0.003378543,0.001946035,-0.010937684,-8.54E-05,0.003195792,-0.017078673,0.020430579,-0.075282012,-0.004089529,-0.008705084,0.001524364,-0.032640944,-0.019598894,0.001817295,-0.000757634,-0.02355543,0.002579415,-0.00560034,0.02775204,0.001224023,-0.013523786,-0.030426132,-0.004622956,-0.009463539,-0.034598804,0
GSM1607897,-0.002280538,0.009600518,0.036426578,-0.044259754,0.042118929,-0.021879659,0.015130608,0.013867065,-0.045647779,-0.037508994,-0.002403523,-0.002131221,-0.003400357,0.001896277,-0.012004874,-8.25E-05,0.003210676,-0.016651122,0.020541383,-0.078324068,-0.004700642,-0.009163785,0.001550233,-0.031004064,-0.020419303,0.001782642,-0.000765929,-0.022590502,0.00249556,-0.005370014,0.02725859,0.001177404,-0.014519874,-0.030866782,-0.004579872,-0.009628132,-0.037456093,0
GSM1607901,-0.002307405,0.00900364,0.036323659,-0.04620614,0.043242213,-0.021799582,0.015379216,0.016745134,-0.044653289,-0.037647386,-0.002166384,-0.001931931,-0.003360677,0.001826926,-0.010576406,-8.48E-05,0.003080267,-0.012976721,0.020640774,-0.063892809,-0.005045028,-0.008803741,0.001480964,-0.029778269,-0.018825799,0.001753098,-0.000702061,-0.024741827,0.002628646,-0.005244391,0.027952221,0.00128993,-0.014678171,-0.029290004,-0.004637141,-0.009058798,-0.034343733,0
GSM1607902,-0.00230439,0.009032002,0.037701387,-0.042219106,0.057271951,-0.021072883,0.014241988,0.013628915,-0.0441222,-0.025192559,-0.002128543,-0.001829898,-0.003313331,0.001910597,-0.010005769,-8.54E-05,0.003059716,-0.016785705,0.019729002,-0.056197494,-0.00415444,-0.008817963,0.001441713,-0.030006586,-0.018484638,0.001746833,-0.000693865,-0.023071175,0.002153689,-0.00551561,0.027935403,0.00118754,-0.012428427,-0.025969482,-0.004504068,-0.008934168,-0.034675066,0
GSM1607907,-0.002289421,0.009575061,0.034897903,-0.049400152,0.047024126,-0.02186869,0.018315446,0.012845913,-0.044866221,-0.037332408,-0.002186717,-0.002636485,-0.003471079,0.001771602,-0.011263466,-8.63E-05,0.003270776,-0.01897687,0.021828759,-0.068145926,-0.00445027,-0.008937242,0.001567891,-0.033223475,-0.020424921,0.001801576,-0.00072303,-0.023928889,0.002994869,-0.005668426,0.027925772,0.001282543,-0.013875614,-0.032065045,-0.004559844,-0.009948525,-0.035246302,0
GSM1607908,-0.002320771,0.009483992,0.036165294,-0.041867266,0.053134338,-0.023234241,0.0160689,0.011466185,-0.044393584,-0.033945776,-0.002208004,-0.00231972,-0.003466001,0.001973949,-0.012135511,-8.75E-05,0.003267285,-0.015707375,0.022391516,-0.065900923,-0.005232125,-0.008796168,0.00160009,-0.032124626,-0.019429296,0.001765969,-0.000752858,-0.027086946,0.002583075,-0.005759723,0.034445313,0.001267383,-0.013486771,-0.029255378,-0.004373318,-0.009424093,-0.034124458,0
GSM1607915,-0.00235082,0.009105601,0.039329122,-0.040596354,0.044554351,-0.021224724,0.017269116,0.014164342,-0.044207218,-0.025957074,-0.002163917,-0.001969571,-0.003474885,0.001805831,-0.010203857,-8.44E-05,0.003237792,-0.016059086,0.019826772,-0.060286966,-0.003829115,-0.008861497,0.001362896,-0.03134916,-0.019464914,0.001870643,-0.000689033,-0.02425482,0.002292843,-0.005126585,0.027568497,0.001234042,-0.014648365,-0.026110856,-0.004601404,-0.008414643,-0.034238559,0
GSM1607916,-0.002255564,0.009353629,0.034581999,-0.048326278,0.049821285,-0.022176447,0.017192303,0.012688506,-0.045855688,-0.032009356,-0.002036355,-0.002266283,-0.003449678,0.001900716,-0.010844438,-8.25E-05,0.002932407,-0.017057197,0.020669452,-0.073450081,-0.004512446,-0.008728242,0.001547287,-0.031654357,-0.019626773,0.001720103,-0.000751174,-0.025121901,0.002536733,-0.005275321,0.033098258,0.001204295,-0.014800047,-0.029123565,-0.004621261,-0.00928841,-0.036351391,0
GSM1607917,-0.00228984,0.008998909,0.038025805,-0.041184467,0.043490759,-0.022286234,0.015188953,0.01203779,-0.043873022,-0.02818194,-0.002215537,-0.002017752,-0.003310379,0.001925084,-0.010626368,-8.56E-05,0.003095517,-0.016011772,0.019935557,-0.062174113,-0.005412556,-0.008754974,0.001510397,-0.030242345,-0.019059953,0.001744787,-0.000699408,-0.023942548,0.002271174,-0.005511038,0.026371928,0.001188222,-0.014736593,-0.025524325,-0.004383216,-0.009320451,-0.033180532,0
GSM1607918,-0.002286845,0.009134354,0.039064791,-0.040520826,0.044162309,-0.021008004,0.015578297,0.016252996,-0.044780203,-0.025501494,-0.002187953,-0.001877492,-0.003493909,0.001716765,-0.00963065,-8.41E-05,0.003001385,-0.012815642,0.020554397,-0.058820285,-0.003807951,-0.008840259,0.001414057,-0.029539197,-0.018457746,0.00179226,-0.000736362,-0.024472952,0.002273352,-0.005031157,0.026521231,0.001211708,-0.014136222,-0.024852205,-0.004545493,-0.008972602,-0.034738418,0
GSM1607921,-0.002362316,0.009603693,0.033265409,-0.045389165,0.04579923,-0.023174593,0.017155381,0.011920858,-0.045518575,-0.028423723,-0.002151711,-0.002151736,-0.003469044,0.001932111,-0.011093614,-8.95E-05,0.003119924,-0.017307886,0.021980491,-0.074566609,-0.004701326,-0.008713146,0.001631843,-0.032760832,-0.020099081,0.001721323,-0.000760522,-0.026196174,0.002490682,-0.005338274,0.030627502,0.001225205,-0.0140894,-0.030008465,-0.004632941,-0.010258111,-0.035062975,0
GSM1607924,-0.002306539,0.009410669,0.035348166,-0.041650144,0.060384631,-0.021829269,0.014906948,0.011314654,-0.044883896,-0.02988365,-0.002113559,-0.002456538,-0.003361041,0.00189632,-0.011924287,-8.42E-05,0.003092741,-0.018516529,0.021120443,-0.070574676,-0.004768035,-0.008754779,0.001550235,-0.030784528,-0.019298087,0.001805175,-0.000763663,-0.025676375,0.002566196,-0.005285258,0.032378333,0.0012159,-0.013635475,-0.030628943,-0.004635661,-0.009172458,-0.034660485,0
